Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus (CFU) 	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	43	North Kihei	NMS	DR	RR		NSB	NSB200116		Sugar Beach	2020-01-16	9:12	1	1	3	1	1					NSB200116	24.7	34.3	6.65	97.5	8.18	2.03	1.92	2.08	2.01	0.041	0				1	4	0	
yes	yes	yes	no	no	43	North Kihei	NMS	DR	RR		NKC	NKC200116		Kihei Canoe Club	2020-01-16	9:30	1	1	3	1	1					NKC200116	25.6	34.2	6.58	98.2	8.16	1.31	1.53	1.55	1.46	0.091	0				0	0	0	
yes	yes	yes	no	no	44	North Kihei	NMS	DR	RR	FB	NMH	NMH200206		Maalaea Harbor	2020-02-06	7:30	2	2	4	2	2					NMH200206	24.6	34.4	6.48	95.1	8.14	0.90	1.03	1.16	1.03	0.126	121				0	0	0	Rainy-light; rained previous night
yes	yes	yes	no	no	44	North Kihei	NMS	DR	RR	FB	NMC	NMC200206		Maalaea Condos	2020-02-06	7:55	2	2	4	2	2					NMC200206	24.6	33.5	6.04	88.2	8.01	2.31	1.97	1.99	2.09	0.091	0				0	0	0	Rainy-light; rained previous night
yes	yes	yes	no	no	44	North Kihei	NMS	DR	RR	FB	NHP	NHP200206		Haycraft Park	2020-02-06	8:10	2	2	4	2	2					NHP200206	24.8	34.1	6.63	97.3	8.13	2.13	2.15	2.47	2.25	0.085	0				0	2	0	rained previous night
yes	yes	yes	no	no	44	North Kihei	NMS	DR	RR	FB	NKP	NKP200206		Kealia Pond	2020-02-06	8:27	2	2	4	2	2					NKP200206	25.1	35.1	6.81	101.0	8.19	0.78	0.77	0.80	0.78	0.020	0				1	3	1	rained previous night
yes	yes	yes	no	no	44	North Kihei	NMS	DR	RR	FB	NSB	NSB200206		Sugar Beach	2020-02-06	8:53	2	2	4	2	2					NSB200206	24.9	34.6	6.93	102.3	8.15	2.87	3.64	3.06	3.19	0.126	31				0	11	0	rained previous night
yes	yes	yes	no	no	44	North Kihei	NMS	DR	RR	FB	NKC	NKC200206		Kihei Canoe Club	2020-02-06	9:05	2	2	4	2	2					NKC200206	25.3	33.6	6.87	101.5	8.13	2.36	3.41	2.70	2.82	0.190	145				0	16	0	outrigger canoe unloading; rained previous night
yes	yes	yes	no	no	45	North Kihei	NMS	RR	FB	KT	NMH	NMH200227		Maalaea Harbor	2020-02-27	7:20	1	1	3	1	1					NMH200227	22.3	34.1	6.42	89.8	8.14	1.00	1.11	1.29	1.13	0.129	10				0	0	0	broke turbidity bottle and used spare
yes	yes	yes	no	no	45	North Kihei	NMS	RR	FB	KT	NMC	NMC200227		Maalaea Condos	2020-02-27	7:50	1	1	3	1	1					NMC200227	22.3	33.2	6.72	93.4	8.09	1.56	1.67	1.46	1.56	0.067	0				0	1	0	every site was windy
yes	yes	yes	no	no	45	North Kihei	NMS	RR	FB	KT	NHP	NHP200227		Haycraft Park	2020-02-27	8:10	1	1	3	1	1					NHP200227	22.7	34.1	6.50	91.6	8.14	1.37	1.68	1.61	1.55	0.105	0				0	5	0	
yes	yes	yes	no	no	45	North Kihei	NMS	RR	FB	KT	NKP	NKP200227		Kealia Pond	2020-02-27	8:35	1	1	3	1	1					NKP200227	22.8	34.7	6.81	96.4	8.18	0.75	0.81	0.79	0.78	0.039	0				0	3	0	Replaced batteries at Kealia meter for probes...1/2 full
yes	yes	yes	no	no	45	North Kihei	NMS	RR	FB	KT	NSB	NSB200227		Sugar Beach	2020-02-27	9:10	1	1	3	1	1					NSB200227	22.8	34.5	6.79	95.9	8.19	1.40	2.09	1.78	1.76	0.197	0				0	10	0	
yes	yes	yes	no	no	45	North Kihei	NMS	RR	FB	KT	NKC	NKC200227		Kihei Canoe Club	2020-02-27	9:25	1	1	3	1	1					NKC200227	24.1	34.0	6.71	96.6	8.12	0.77	0.91	1.01	0.90	0.134	0				0	3	0	
yes	yes	yes	no	no	46	North Kihei	NMS	JS	TS		NMH	NMH200507		Maalaea Harbor	2020-05-07	8:02	2	2	4	2	2					NMH200507	24.7	34.0	6.72	97.8	8.14	3.52	3.98	3.59	3.70	0.067	10				0	0	0	20' zodiac passing by ~30' away; windy
yes	yes	yes	no	no	46	North Kihei	NMS	JS	TS		NMC	NMC200507		Maalaea Condos	2020-05-07	8:16	2	2	4	2	2					NMC200507	24.7	32.5	7.47	107.8	8.17	9.62	7.48	8.21	8.44	0.129	0				0	0	0	Did DO/salinity 2x, same reading; low tide; surf
yes	yes	yes	no	no	46	North Kihei	NMS	JS	TS		NHP	NHP200507		Haycraft Park	2020-05-07	8:35	2	2	4	2	2					NHP200507	24.7	33.9	7.03	102.1	8.15	6.89	7.61	8.05	7.52	0.078	20				0	4	0	water looked dirty; windy
yes	yes	yes	no	no	46	North Kihei	NMS	JS	TS		NKP	NKP200507		Kealia Pond	2020-05-07	9:02	2	2	4	2	2					NKP200507	24.8	34.8	6.98	102.2	8.17	1.88	1.95	1.93	1.92	0.019	0				0	2	0	
yes	yes	yes	no	no	46	North Kihei	NMS	JS	TS		NSB	NSB200507		Sugar Beach	2020-05-07	9:20	2	2	4	2	2					NSB200507	25.2	34.4	6.82	103.0	8.13	2.70	3.27	3.65	3.21	0.149	0				0	3	0	
yes	yes	yes	no	no	46	North Kihei	NMS	JS	TS		NKC	NKC200507		Kihei Canoe Club	2020-05-07	9:41	2	2	4	2	2					NKC200507	25.9	33.7	6.90	102.5	8.11	7.28	8.8	7.91	8.00	0.096	20				2	3	0	
yes	yes	yes	no	no	47	North Kihei	NMS	JS	TS		NMH	NMH200611		Maalaea Harbor	2020-06-11	8:00	1	1	3	1	1					NMH200611	25.2	34.3	6.34	93.3	8.09	2.40	2.03	2.83	2.42	0.165	10				0	0	0	super windy at all sites
yes	yes	yes	no	no	47	North Kihei	NMS	JS	TS		NMC	NMC200611		Maalaea Condos	2020-06-11	8:30	1	1	3	1	1					NMC200611	25.6	33.2	7.10	104.7	8.08	4.09	4.16	4.47	4.24	0.048	0				0	0	0	somewhat windy; sunny
yes	yes	yes	no	no	47	North Kihei	NMS	JS	TS		NHP	NHP200611		Haycraft Park	2020-06-11	8:52	1	1	3	1	1					NHP200611	25.4	34.7	6.81	100.9	8.14	4.36	5.11	4.85	4.77	0.080	20				0	10	2	windy; people fishing; some trash on beach
yes	yes	yes	no	no	47	North Kihei	NMS	JS	TS		NKP	NKP200611		Kealia Pond	2020-06-11	9:15	1	1	3	1	1					NKP200611	26.1	35.0	6.68	100.3	8.15	2.03	1.74	2.26	2.01	0.130	20				3	9	0	2 kids; 1 dog; super windy
yes	yes	yes	no	no	47	North Kihei	NMS	JS	TS		NSB	NSB200611		Sugar Beach	2020-06-11	9:45	1	1	3	1	1					NSB200611	27.1	34.8	6.58	100.3	8.13	3.61	3.53	3.23	3.46	0.058	0				0	3	0	
yes	yes	yes	no	no	47	North Kihei	NMS	JS	TS		NKC	NKC200611		Kihei Canoe Club	2020-06-11	10:02	1	1	3	1	1					NKC200611	26.9	34.6	6.64	100.8	8.13	3.11	3.79	3.75	3.55	0.107	20				0	4	0	
yes	yes	yes	no	no	48	North Kihei	NMS	JS	TS		NMH	NMH200702		Maalaea Harbor	2020-07-02	8:10	2	2	4	2	2					NMH200702	25.5	34.2	6.33	93.8	8.12	2.58	2.52	3.05	2.72	0.107	0				0	0	0	
yes	yes	yes	no	no	48	North Kihei	NMS	JS	TS		NMC	NMC200702		Maalaea Condos	2020-07-02	8:25	2	2	4	2	2					NMC200702	25.8	33.1	7.68	113.5	8.15	2.92	1.79	1.79	2.17	0.301	146				0	0	0	stuff visible floating in sample cell. Conversation with manager :"usually ~80 units full, now only ~15 units are full. Have also seen moi and ulua coming in close". Low tide and rocky (could explain super high DO). 
yes	yes	yes	no	no	48	North Kihei	NMS	JS	TS		NHP	NHP200702		Haycraft Park	2020-07-02	8:49	2	2	4	2	2					NHP200702	26.1	35.0	6.82	102.6	8.16	4.51	4.23	4.90	4.55	0.074	0				0	50	50	9 tents
yes	yes	yes	no	no	48	North Kihei	NMS	JS	TS		NKP	NKP200702		Kealia Pond	2020-07-02	9:05	2	2	4	2	2					NKP200702	26.2	35.2	6.72	101.4	8.17	1.79	1.53	1.54	1.62	0.091	0				13	20	20	4 tents
yes	yes	yes	no	no	48	North Kihei	NMS	JS	TS		NSB	NSB200702		Sugar Beach	2020-07-02	9:25	2	2	4	2	2					NSB200702	26.7	34.9	6.71	101.8	8.1	3.23	3.56	3.98	3.59	0.105	0				0	2	0	
yes	yes	yes	no	no	48	North Kihei	NMS	JS	TS		NKC	NKC200702		Kihei Canoe Club	2020-07-02	9:45	2	2	4	2	2					NKC200702	26.7	34.7	6.69	101.6	8.15	14.60	14.7	13.90	14.40	0.030	20				3	5	0	murky water
yes	yes	yes	no	no	49	North Kihei	NMS	FB	TS		NMH	NMH200723		Maalaea Harbor	2020-07-23	7:50	1	1	3	1	1					NMH200723	26.1	34.4	6.03	90.1	8.11	0.95	0.93	0.84	0.91	0.065	0				0	0	0	windy, some waves
yes	yes	yes	no	no	49	North Kihei	NMS	FB	TS		NMC	NMC200723		Maalaea Condos	2020-07-23	8:15	1	1	3	1	1					NMC200723	26.2	32.6	6.68	99.2	8.02	2.17	2.31	2.31	2.26	0.036	0				0	0	0	
yes	yes	yes	no	no	49	North Kihei	NMS	FB	TS		NHP	NHP200723		Haycraft Park	2020-07-23	8:35	1	1	3	1	1					NHP200723	26.4	34.4	6.41	96.5	8.1	2.01	1.8	2.01	1.94	0.062	0				8	7	7	2 sleeping tents, 2 pop-up tents, 5 fishing poles 
yes	yes	yes	no	no	49	North Kihei	NMS	FB	TS		NKP	NKP200723		Kealia Pond	2020-07-23	9:00	1	1	3	1	1					NKP200723	27.0	35.3	6.43	98.1	8.15	0.89	0.82	0.83	0.85	0.045	0				0	3	0	1 dog on beach
yes	yes	no	no	no	49	North Kihei	NMS	FB	TS		NSB	NSB200723		Sugar Beach	2020-07-23	9:15	1	1	3	1	1					NSB200723	27.5	34.6	6.39	97.9	8.14	2.56	2.58	2.64	2.59	0.016	20				0	1	0	1 dog on beach; did not collect for nutrients; teperature rising since the morning
yes	yes	yes	no	no	49	North Kihei	NMS	FB	TS		NKC	NKC200723		Kihei Canoe Club	2020-07-23	9:30	1	1	3	1	1					NKC200723	28.2	34.4	6.32	98.0	8.1	3.53	3.58	3.36	3.49	0.033	10				0	6	0	2 dogs on beach; water looks brown 
yes	yes	yes	no	no	50	North Kihei	DHS	FB	TS	GB	NMH	NMH200813		Maalaea Harbor	2020-08-13	7:55	2	2	4	2	2					NMH200813	25.8	33.7	6.38	94.7	8.13	1.04	0.9	1.05	1.00	0.084					0	0	0	DI water high NTU (bc minerals?)
yes	yes	yes	yes	no	50	North Kihei	DHS	FB	TS	GB	NMC	NMC200813		Maalaea Condos	2020-08-13	8:05	2	2	4	2	2					NMC200813	26.4	33.1	6.53	98.0	8.02	4.08	4.87	4.86	4.60	0.098					0	0	0	high tide? windy
yes	yes	yes	no	no	50	North Kihei	DHS	FB	TS	GB	NHP	NHP200813		Haycraft Park	2020-08-13	8:30	2	2	4	2	2					NHP200813	26.4	34.3	6.70	101.1	8.11	12.70	13.3	13.40	13.13	0.029					1	0	0	1 SUP with dog in water; muddy/brown water
yes	yes	yes	yes	no	50	North Kihei	DHS	FB	TS	GB	NKP	NKP200813		Kealia Pond	2020-08-13	8:50	2	2	4	2	2					NKP200813	26.0	35.0	6.81	102.4	8.17	0.87	1.16	0.98	1.00	0.146					0	2	0	Need tape and rope in bag and magnet 
yes	yes	yes	no	no	50	North Kihei	DHS	FB	TS	GB	NKC	NKC200813		Kihei Canoe Club	2020-08-13	9:10	2	2	4	2	2					NKC200813	27.2	34.6	6.67	102.0	8.13	1.25	2.24	2.00	1.83	0.282					0	9	0	9 canoe paddlers; water looks brown
yes	yes	yes	no	no	51	North Kihei	DHS	FB		GB	NMH	NMH200903		Maalaea Harbor	2020-09-03	7:55	1	2	3	1	1					NMH200903	25.6	34.4	6.21	92.4	8.07	1.02	1.05	1.01	1.03	0.020					0	0	0	
yes	yes	yes	no	no	51	North Kihei	DHS	FB		GB	NMC	NMC200903		Maalaea Condos	2020-09-03	8:15	1	2	3	1	1					NMC200903	26.1	33.3	6.89	102.6	8.04	1.17	1.34	1.35	1.29	0.079					0	0	0	
yes	yes	yes	no	no	51	North Kihei	DHS	FB		GB	NHP	NHP200903		Haycraft Park	2020-09-03	8:33	1	2	3	1	1					NHP200903	26.4	34.3	6.42	96.8	8.01	3.50	3.31	3.43	3.41	0.028					0	0	0	
yes	yes	yes	no	no	51	North Kihei	DHS	FB		GB	NKP	NKP200903		Kealia Pond	2020-09-03	8:54	1	2	3	1	1					NKP200903	26.5	35.1	6.49	98.4	8.09	0.76	0.87	0.94	0.86	0.106					0	0	0	
yes	yes	yes	no	no	51	North Kihei	DHS	FB		GB	NKC	NKC200903		Kihei Canoe Club	2020-09-03	9:10	1	2	3	1	1					NKC200903	26.7	34.5	6.36	96.8	8.08	0.56	0.83	1.15	0.85	0.349					1	1	0	read button on turbidity meter #2 needs replaced
yes	yes	yes	no	no	52	North Kihei	DHS	GB	FB	TS	NMH	NMH200924		Maalaea Harbor	2020-09-24	7:45	2	2	4	2	2					NMH200924	26.0	34.2	6.41	95.5	8.05	1.59	1.43	1.31	1.44	0.097					0	0	0	Wailuku and Kihei rain night before; windy
yes	yes	yes	no	no	52	North Kihei	DHS	GB	FB	TS	NMC	NMC200924		Maalaea Condos	2020-09-24	8:10	2	2	4	2	2					NMC200924	26.3	33.5	6.87	102.5	8.03	3.46	3.18	3.24	3.29	0.045					0	0	0	Tina Windberger observe/refresher training; windy
yes	yes	yes	no	no	52	North Kihei	DHS	GB	FB	TS	NHP	NHP200924		Haycraft Park	2020-09-24	8:27	2	2	4	2	2					NHP200924	26.7	34.7	6.71	101.4	8.1	2.80	2.99	2.80	2.86	0.038					0	2	0	windy
yes	yes	yes	no	no	52	North Kihei	DHS	GB	FB	TS	NKP	NKP200924		Kealia Pond	2020-09-24	8:48	2	2	4	2	2					NKP200924	26.8	35.2	6.81	103.3	8.14	1.42	1.26	1.37	1.35	0.061					1	1	0	SCUBA diver in water nearby
yes	yes	yes	no	no	52	North Kihei	DHS	GB	FB	TS	NKC	NKC200924		Kihei Canoe Club	2020-09-24	9:10	2	2	4	2	2					NKC200924	27.8	34.9	6.72	103.5	8.11	4.10	3.12	5.45	4.22	0.277					0	0	0	susoended material in sample
yes	yes	yes	no	no	53	North Kihei	DHS	GB	FB	TW	NMH	NMH201015		Maalaea Harbor	2020-10-15	7:50	1	1	3	2	1					NMH201015	26.9	34.4	6.30	95.9	8.11	1.82	1.8	1.88	1.83	0.023					0	0	0	Tested blank 4 times; wiped with cloth, ~0.12 lowest reading
yes	yes	yes	no	no	53	North Kihei	DHS	GB	FB	TW	NMC	NMC201015		Maalaea Condos	2020-10-15	8:10	1	1	3	2	1					NMC201015	27.1	33.1	7.00	106.1	8.05	1.63	1.78	1.52	1.64	0.079					0	0	0	low tide - rocky entry - consider safer entry 30 ft to the left
yes	yes	yes	no	no	53	North Kihei	DHS	GB	FB	TW	NHP	NHP201015		Haycraft Park	2020-10-15	8:28	1	1	3	2	1					NHP201015	27.0	34.4	6.85	104.7	8.1	4.31	4.31	4.20	4.27	0.015					0	2	0	
yes	yes	yes	yes	no	53	North Kihei	DHS	GB	FB	TW	NKP	NKP201015		Kealia Pond	2020-10-15	8:52	1	1	3	2	1					NKP201015	27.5	34.9	6.74	104.0	8.14	1.35	1.1	1.22	1.22	0.102					2	1	0	weather: sunny, dry, calm, surf 1'
yes	yes	yes	no	no	53	North Kihei	DHS	GB	FB	TW	NKC	NKC201015		Kihei Canoe Club	2020-10-15	9:12	1	1	3	2	1					NKC201015	28.0	34.4	6.54	101.3	8.09	2.06	3.08	2.60	2.58	0.198					0	1	0	3.08 2nd reading discarded
yes	yes	yes	no	no	54	North Kihei	DHS	TW	FB	TS	NMH	NMH201105		Maalaea Harbor	2020-11-05	7:51	2	2	4	2	2					NMH201105	26.7	34.7	6.02	91.1	8.11	1.01	1.15	1.07	1.08	0.065					0	0	0	sunny, clear, no wind
yes	yes	yes	no	no	54	North Kihei	DHS	TW	FB	TS	NMC	NMC201105		Maalaea Condos	2020-11-05	8:09	2	2	4	2	2					NMC201105	26.8	34.6	6.53	99.1	8.05	9.06	8.55	9.27	8.96	0.041					0	0	0	high tide (1.5' S. swell); new entry site ~25 yards east of steps, near tallest palm tree
yes	yes	yes	no	no	54	North Kihei	DHS	TW	FB	TS	NHP	NHP201105		Haycraft Park	2020-11-05	8:26	2	2	4	2	2					NHP201105	27.0	34.7	6.48	98.7	8.1	12.10	11.4	12.10	11.87	0.034					0	0	0	crazy flies; smaller swell
yes	yes	yes	no	no	54	North Kihei	DHS	TW	FB	TS	NKP	NKP201105		Kealia Pond	2020-11-05	8:46	2	2	4	2	2					NKP201105	27.1	35.1	6.55	100.1	8.14	1.86	1.51	1.38	1.58	0.157					0	0	0	flat
yes	yes	yes	no	no	54	North Kihei	DHS	TW	FB	TS	NKC	NKC201105		Kihei Canoe Club	2020-11-05	9:00	2	2	4	2	2					NKC201105	27.7	35.0	6.39	98.7	8.13	2.90	3.98	3.41	3.43	0.158					2	3	0	small swell; 4.50 (4th turbidity reading) - some suspended material in the bottle 
yes	yes	yes	no	no	55	North Kihei	DHS	GB	FB		NMH	NMH201119		Maalaea Harbor	2020-11-19	7:45	1	1	3	2	1					NMH201119	25.1	34.7	6.14	90.5	8.1	0.70	0.73	0.81	0.75	0.076					0	0	0	pH probe - no KCl in bottle after 1st beach
yes	yes	yes	no	no	55	North Kihei	DHS	GB	FB		NMC	NMC201119		Maalaea Condos	2020-11-19	8:05	1	1	3	2	1					NMC201119	24.9	34.8	6.67	98.3	8.07	7.55	8	7.72	7.76	0.029					0	0	0	unusually high tide
yes	yes	yes	no	no	55	North Kihei	DHS	GB	FB		NHP	NHP201119		Haycraft Park	2020-11-19	8:30	1	1	3	2	1					NHP201119	25.4	34.9	6.33	94.2	8.11	1.90	2.12	2.16	2.06	0.068					0	0	0	HQ40d meter - shut off numerous times when pressing read button
yes	yes	yes	no	no	55	North Kihei	DHS	GB	FB		NKP	NKP201119		Kealia Pond	2020-11-19	8:56	1	1	3	2	1					NKP201119	25.6	35.5	6.64	99.4	8.11	0.89	0.87	0.80	0.85	0.055					1	2	0	
yes	yes	yes	no	no	55	North Kihei	DHS	GB	FB		NKC	NKC201119		Kihei Canoe Club	2020-11-19	9:17	1	1	3	2	1					NKC201119	26.6	35.2	6.55	99.5	8.11	0.49	0.63	0.53	0.55	0.131					0	2	0	
yes	yes	yes	no	no	56	North Kihei	DHS	GB	FB		NMH	NMH201210		Maalaea Harbor	2020-12-10	8:00	2	2	4	2	2					NMH201210	25.5	35.1	5.93	88.0	8.12	0.97	0.98	0.98	0.98	0.006					0	0	0	HQ40d meter worked well today - pushing lightly on the read button is possibly helpful
yes	yes	yes	no	no	56	North Kihei	DHS	GB	FB		NMC	NMC201210		Maalaea Condos	2020-12-10	8:15	2	2	4	2	2					NMC201210	25.4	33.8	6.52	96.0	8.03	4.79	4.24	4.38	4.47	0.064					0	0	0	
yes	yes	yes	no	no	56	North Kihei	DHS	GB	FB		NHP	NHP201210		Haycraft Park	2020-12-10	8:30	2	2	4	2	2					NHP201210	25.7	34.4	6.40	95.0	8.11	8.72	7.78	7.50	8.00	0.080					0	0	0	
yes	yes	yes	no	no	56	North Kihei	DHS	GB	FB		NKP	NKP201210		Kealia Pond	2020-12-10	8:51	2	2	4	2	2					NKP201210	25.8	35.4	6.68	99.9	8.16	0.67	0.61	0.55	0.61	0.098					0	3	0	
yes	yes	yes	no	no	56	North Kihei	DHS	GB	FB		NKC	NKC201210		Kihei Canoe Club	2020-12-10	9:12	2	2	4	2	2					NKC201210	26.6	34.8	6.37	96.4	8.12	1.52	1.5	1.67	1.56	0.059					1	2	0	
yes	yes	yes	no	no	57	North Kihei	DHS	GB	FB		NMH	NMH210107		Maalaea Harbor	2021-01-07	7:55	1	1	3	2	1					NMH210107	24.2	34.9	6.19	89.6	8.11	1.27	1.09	1.37	1.24	0.114					0	3	0	HQ40d meter cotinues to shut off when read button pushed too hard
yes	yes	yes	no	no	57	North Kihei	DHS	GB	FB		NMC	NMC210107		Maalaea Condos	2021-01-07	8:20	1	1	3	2	1					NMC210107	24.1	33.6	6.75	96.8	8.03	1.76	1.85	1.88	1.83	0.034					0	1	0	
yes	yes	yes	no	no	57	North Kihei	DHS	GB	FB		NHP	NHP210107		Haycraft Park	2021-01-07	8:40	1	1	3	2	1					NHP210107	24.6	34.6	6.50	94.7	8.11	2.59	2.29	2.46	2.45	0.061					0	1	0	
yes	yes	yes	no	no	57	North Kihei	DHS	GB	FB		NKP	NKP210107		Kealia Pond	2021-01-07	9:05	1	1	3	2	1					NKP210107	24.7	35.6	6.80	99.9	8.18	0.47	0.44	0.44	0.45	0.038					0	0	0	
yes	yes	yes	no	no	57	North Kihei	DHS	GB	FB		NKC	NKC210107		Kihei Canoe Club	2021-01-07	9:20	1	1	3	2	1					NKC210107	25.6	34.8	6.66	98.7	8.14	0.64	0.64	0.67	0.65	0.027					0	6	0	
yes	yes	yes	no	no	58	North Kihei	DHS	GB	FB	AW	NMH	NMH210128		Maalaea Harbor	2021-01-28	7:50	2	2	4	2	2					NMH210128	23.3	34.8	6.38	99.1	8.13	2.28	2.31	2.24	2.28	0.015					0	0	0	Very windy; HQ40d #2 would not turn on unless batteries removed and reset
yes	yes	yes	no	no	58	North Kihei	DHS	GB	FB	AW	NMC	NMC210128		Maalaea Condos	2021-01-28	8:10	2	2	4	2	2					NMC210128	23.0	34.4	6.94	98.3	8.08	7.76	8.51	7.95	8.07	0.048					0	0	0	Stream flowing (culvert connecting to Kanaio Stream had water in it and water pooled on beach)
yes	yes	yes	no	no	58	North Kihei	DHS	GB	FB	AW	NHP	NHP210128		Haycraft Park	2021-01-28	8:30	2	2	4	2	2					NHP210128	23.3	35.0	6.86	98.4	8.13	4.44	5.63	5.80	5.29	0.140					0	0	0	TIara Stark observing/refreshing 
yes	yes	yes	no	no	58	North Kihei	DHS	GB	FB	AW	NKP	NKP210128		Kealia Pond	2021-01-28	8:50	2	2	4	2	2					NKP210128	23.9	35.4	6.89	99.6	8.18	0.99	1.19	1.02	1.07	0.101					1	1	0	Man peeing in ocean
yes	yes	yes	no	no	58	North Kihei	DHS	GB	FB	AW	NKC	NKC210128		Kihei Canoe Club	2021-01-28	9:10	2	2	4	2	2					NKC210128	25.3	34.8	6.55	96.6	8.15	1.36	1.84	1.84	1.68	0.165					0	0	0	
yes	yes	yes	no	no	59	North Kihei	DHS	GB	FB	AW	NMH	NMH210218		Maalaea Harbor	2021-02-18	7:50	1	1	3	1	1					NMH210218	24.2	34.9	6.37	92.3	8.13	2.15	2.07	2.08	2.10	0.021					0	0	0	HQ40d meter would not operate unless apply pressure to the battery case with one hand while pressing read button with the other hand. Otherwise if just pressing read button, it would shut off whih it did about 10 times. 
yes	yes	yes	no	no	59	North Kihei	DHS	GB	FB	AW	NMC	NMC210218		Maalaea Condos	2021-02-18	8:10	1	1	3	1	1					NMC210218	24.4	34.4	6.89	99.9	8.07	4.82	4.94	5.10	4.95	0.028					0	4	0	
yes	yes	yes	no	no	59	North Kihei	DHS	GB	FB	AW	NHP	NHP210218		Haycraft Park	2021-02-18	8:30	1	1	3	1	1					NHP210218	24.6	34.5	6.62	96.4	8.1	5.92	5.89	5.77	5.86	0.014					0	10	0	
yes	yes	yes	no	no	59	North Kihei	DHS	GB	FB	AW	NKP	NKP210218		Kealia Pond	2021-02-18	8:50	1	1	3	1	1					NKP210218	24.1	35.5	6.88	100.4	8.16	1.53	1.6	1.51	1.55	0.031					0	1	0	
yes	yes	yes	no	no	59	North Kihei	DHS	GB	FB	AW	NKC	NKC210218		Kihei Canoe Club	2021-02-18	9:10	1	1	3	1	1					NKC210218	25.1	35.0	6.75	99.3	8.15	1.49	1.56	1.56	1.54	0.026					0	0	0	
yes	yes	yes	no	no	60	North Kihei	DHS	GB	FB	AW	NMH	NMH210311		Maalaea Harbor	2021-03-11	7:45	2	2	4	2	2					NMH210311	24.4	34.9	6.25	90.9	8.14	0.54	0.5	0.45	0.50	0.091					0	0	0	*can't get blank below 0.22. About 20 attempts to pre-sample the blank, wiped with silicon cloth numerous times. 
yes	yes	yes	no	no	60	North Kihei	DHS	GB	FB	AW	NMC	NMC210311		Maalaea Condos	2021-03-11	8:05	2	2	4	2	2					NMC210311	24.5	33.8	6.84	98.8	8.07	2.19	2.56	2.77	2.51	0.117					0	0	0	HQ40d #2 meter twice didn't take readings until pushing read button a second time. 
yes	yes	yes	no	no	60	North Kihei	DHS	GB	FB	AW	NHP	NHP210311		Haycraft Park	2021-03-11	8:20	2	2	4	2	2					NHP210311	24.7	34.4	6.64	96.7	8.2	3.15	3.39	3.14	3.23	0.044					0	1	0	Handed out one of the information cards. 
yes	yes	yes	no	no	60	North Kihei	DHS	GB	FB	AW	NKP	NKP210311		Kealia Pond	2021-03-11	8:40	2	2	4	2	2					NKP210311	24.7	35.5	6.82	99.8	8.17	0.61	0.54	0.59	0.58	0.062					0	2	0	
yes	yes	yes	no	no	60	North Kihei	DHS	GB	FB	AW	NKC	NKC210311		Kihei Canoe Club	2021-03-11	9:00	2	2	4	2	2					NKC210311	25.3	34.7	6.67	98.2	8.14	0.67	0.67	0.62	0.65	0.044					0	1	0	
yes	yes	yes	no	no	61	North Kihei	DHS	GB	FB	AW	NMH	NMH210401		Maalaea Harbor	2021-04-01	7:45	1	1	3	1	1					NMH210401	24.1	34.7	6.43	93.1	8.13	1.66	1.73	1.62	1.67	0.033					0	3	0	High waves all week.
yes	yes	yes	no	no	61	North Kihei	DHS	GB	FB	AW	NMC	NMC210401		Maalaea Condos	2021-04-01	8:00	1	1	3	1	1					NMC210401	24.2	34.1	7.15	103.4	8.09	2.12	2.26	2.53	2.30	0.090					0	0	0	Per team lead instruction, taking a 4th turbidity reading only if a 50% difference exists. Not sure if this is the standard we want or not. 
yes	yes	yes	no	no	61	North Kihei	DHS	GB	FB	AW	NHP	NHP210401		Haycraft Park	2021-04-01	8:20	1	1	3	1	1					NHP210401	24.4	35.0	6.89	100.7	8.13	5.17	6.66	6.35	6.06	0.130					1	1	1	
yes	yes	yes	no	no	61	North Kihei	DHS	GB	FB	AW	NKP	NKP210401		Kealia Pond	2021-04-01	8:40	1	1	3	1	1					NKP210401	24.5	35.1	6.87	100.5	8.17	1.74	1.77	1.97	1.83	0.068					0	0	0	
yes	yes	yes	no	no	61	North Kihei	DHS	GB	FB	AW	NKC	NKC210401		Kihei Canoe Club	2021-04-01	9:00	1	1	3	1	1					NKC210401	25.2	34.6	6.84	101.1	8.14	9.11	11.1	10.90	10.37	0.106					0	3	0	
